      Retgersite
      McIntyre G J, Ptasiewicz-Bak H, Olovsson I
      Acta Crystallographica B46 (1990) 27-39
      Bonding deformation and superposition effects in the
      electron density of tetragonal nickel sulfate hexadeuterate NiSO4*6D2O
      Sample: X-ray refinement
      _database_code_amcsd 0009838
      CELL PARAMETERS:   6.7803  6.7803 18.2880   90.000   90.000   90.000
      SPACE GROUP: P4_32_12  
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    840.745
      Density (g/cm3):      1.981
      MAX. ABS. INTENSITY / VOLUME**2:      16.75385571    
      RIR:      3.949
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                16.19          6.96        6.3574    1   0   1         8
                22.26          7.53        4.6377    1   1   1         8
                22.58         32.65        4.5720    0   0   4         2
                24.34        100.00        4.2461    1   1   2         8
                27.48          4.48        3.7685    1   1   3         8
                30.62          9.78        3.3902    2   0   0         4
                31.15          5.28        3.3334    2   0   1         8
                32.71          1.31        3.1787    2   0   2         8
                35.17         12.35        2.9628    2   0   3         8
                35.86          1.33        2.9080    1   1   5         8
                36.24          1.71        2.8781    2   1   2         8
                37.57          1.51        2.7800    1   0   6         8
                38.38         15.26        2.7232    2   0   4         8
                40.73         11.09        2.5722    1   1   6         8
                41.49          4.02        2.5270    2   1   4         8
                45.10          9.27        2.3344    2   1   5         8
                47.04          1.05        2.2430    3   0   1         8
                49.71          6.43        2.1295    3   1   1         8
                49.87          3.05        2.1231    2   2   4         8
                49.97          3.66        2.1191    3   0   3         8
                50.78          4.06        2.0875    3   1   2         8
                52.44          1.23        2.0261    3   0   4         8
                52.53          3.10        2.0227    3   1   3         8
                53.78          3.35        1.9792    2   1   7         8
                54.92          1.08        1.9412    3   1   4         8
                56.37          4.75        1.8954    2   0   8         8
                56.85          1.76        1.8805    3   2   0         8
                57.89          4.09        1.8497    3   1   5         8
                58.73          2.57        1.8254    2   1   8         8
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
